DATASET,SIZE,DIM,SOURCE,TARGET,SPLIT,MEASURE,METHOD,METHOD2,meandiff,p-adj,lower,upper,reject
lj,111-115,32,deepWalk,DistMult,test,MRR,source,target,-0.0275,0.001,-0.0421,-0.0129,True
orkut,351-355,32,node2vec,TransE,test,MRR,source2target,target,-0.0105,0.3979,-0.0277,0.0068,False
orkut,351-355,32,node2vec,SimplE,test,MRR,source2target,target,-0.0196,0.0023,-0.0337,-0.0054,True
lj,111-115,32,node2vec,TransD,test,MRR,source,target,0.0808,0.001,0.065,0.0965,True
lj,111-115,32,deepWalk,TransD,test,MRR,source,target,0.0737,0.001,0.0561,0.0913,True
lj,111-115,32,deepWalk,TransE,test,MRR,source,target,0.0697,0.001,0.0528,0.0865,True
orkut,351-355,32,deepWalk,RESCAL,test,MRR,source2target,target,-0.0449,0.001,-0.0623,-0.0275,True
lj,111-115,32,deepWalk,SimplE,test,MRR,source,target,-0.0256,0.001,-0.04,-0.0111,True
lj,111-115,32,node2vec,SimplE,test,MRR,source,target,-0.0225,0.001,-0.0328,-0.0122,True
lj,111-115,32,deepWalk,TransH,test,MRR,source,target,0.071,0.001,0.0541,0.0879,True
lj,111-115,32,node2vec,TransE,test,MRR,source,target,0.0743,0.001,0.0565,0.0921,True
orkut,351-355,32,deepWalk,SimplE,test,MRR,source2target,target,-0.0279,0.001,-0.0421,-0.0137,True
lj,121-125,32,deepWalk,TransH,test,MRR,source2target,target,0.0046,0.9,-0.0231,0.0324,False
lj,111-115,32,node2vec,RESCAL,test,MRR,source,target,0.0491,0.001,0.0239,0.0743,True
lj,111-115,32,node2vec,TransH,test,MRR,source,target,0.0748,0.001,0.0567,0.0929,True
lj,121-125,32,deepWalk,TransE,test,MRR,source2target,target,-0.0024,0.9,-0.0293,0.0246,False
lj,121-125,32,node2vec,TransE,test,MRR,source2target,target,-0.002,0.9,-0.0277,0.0238,False
lj,111-115,32,deepWalk,RESCAL,test,MRR,source,target,0.0486,0.001,0.0233,0.0739,True
orkut,351-355,32,node2vec,TransH,test,MRR,source2target,target,-0.0111,0.3341,-0.0282,0.0059,False
youtube,16-20,32,node2vec,SimplE,test,MRR,source2target,target,0.0042,0.9,-0.0241,0.0326,False
youtube,16-20,32,deepWalk,TransE,test,MRR,source2target,target,0.0023,0.9,-0.0637,0.0682,False
orkut,351-355,32,node2vec,RESCAL,test,MRR,source2target,target,-0.0538,0.001,-0.0702,-0.0373,True
lj,121-125,32,deepWalk,TransD,test,MRR,source2target,target,0.0085,0.7862,-0.0162,0.0332,False
orkut,351-355,32,deepWalk,TransH,test,MRR,source2target,target,-0.0266,0.001,-0.0447,-0.0085,True
youtube,16-20,32,node2vec,DistMult,test,MRR,source2target,target,0.0047,0.9,-0.0245,0.0338,False
orkut,351-355,32,deepWalk,DistMult,test,MRR,source2target,target,-0.0281,0.001,-0.0425,-0.0136,True
orkut,351-355,32,node2vec,DistMult,test,MRR,source2target,target,-0.0197,0.0018,-0.0337,-0.0057,True
youtube,16-20,32,deepWalk,TransH,test,MRR,source2target,target,0.0105,0.9,-0.0561,0.0771,False
youtube,16-20,32,node2vec,TransH,test,MRR,source2target,target,0.0072,0.9,-0.0624,0.0769,False
lj,121-125,32,node2vec,SimplE,test,MRR,source2target,target,-0.0315,0.001,-0.0413,-0.0218,True
orkut,351-355,32,deepWalk,TransD,test,MRR,source2target,target,-0.0071,0.597,-0.0219,0.0078,False
lj,121-125,32,node2vec,TransD,test,MRR,source2target,target,0.0114,0.6197,-0.0134,0.0361,False
orkut,351-355,32,deepWalk,TransE,test,MRR,source2target,target,-0.024,0.0038,-0.042,-0.0059,True
lj,121-125,32,deepWalk,RESCAL,test,MRR,source2target,target,-0.0238,0.5,-0.0677,0.0201,False
youtube,16-20,32,deepWalk,DistMult,test,MRR,source2target,target,0.0162,0.4857,-0.0132,0.0455,False
lj,121-125,32,node2vec,RESCAL,test,MRR,source2target,target,-0.0223,0.5668,-0.0673,0.0227,False
lj,121-125,32,node2vec,DistMult,test,MRR,source2target,transformed,0.0377,0.001,0.0202,0.0552,True
youtube,16-20,32,deepWalk,SimplE,test,MRR,source2target,target,0.0158,0.5104,-0.0138,0.0454,False
youtube,16-20,32,deepWalk,RESCAL,test,MRR,source2target,target,0.0122,0.9,-0.0427,0.0671,False
lj,121-125,32,deepWalk,SimplE,test,MRR,source2target,transformed,-0.0342,0.001,-0.0433,-0.0251,True
orkut,351-355,32,node2vec,TransD,test,MRR,source2target,transformed,-0.0533,0.001,-0.0684,-0.0382,True
youtube,16-20,32,node2vec,RESCAL,test,MRR,source2target,target,0.016,0.8847,-0.042,0.074,False
youtube,16-20,32,deepWalk,TransD,test,MRR,source2target,transformed,0.0646,0.0562,-0.0011,0.1303,False
lj,121-125,32,deepWalk,DistMult,test,MRR,source2target,transformed,0.0716,0.001,0.0543,0.089,True
lj,121-125,32,node2vec,TransH,test,MRR,source2target,transformed,-0.051,0.001,-0.0786,-0.0234,True
youtube,16-20,32,node2vec,TransD,test,MRR,source2target,transformed,0.0658,0.0682,-0.0033,0.1349,False
youtube,16-20,32,node2vec,TransE,test,MRR,source2target,transformed,0.0604,0.1248,-0.0104,0.1313,False
lj,111-115,32,node2vec,DistMult,test,MRR,source,transformed,0.0656,0.001,0.0502,0.081,True
lj,111-115,32,deepWalk,DistMult,test,MRR,source,transformed,0.0604,0.001,0.0458,0.0751,True
orkut,351-355,32,node2vec,TransE,test,MRR,source2target,transformed,-0.0622,0.001,-0.0794,-0.045,True
orkut,351-355,32,node2vec,SimplE,test,MRR,source2target,transformed,0.0341,0.001,0.02,0.0482,True
lj,111-115,32,node2vec,TransD,test,MRR,source,transformed,0.0163,0.0397,0.0005,0.032,True
lj,111-115,32,deepWalk,TransD,test,MRR,source,transformed,0.0095,0.5028,-0.0081,0.0271,False
lj,111-115,32,deepWalk,TransE,test,MRR,source,transformed,-0.0069,0.691,-0.0238,0.0099,False
orkut,351-355,32,deepWalk,RESCAL,test,MRR,source2target,transformed,-0.0604,0.001,-0.0778,-0.043,True
lj,111-115,32,deepWalk,SimplE,test,MRR,source,transformed,0.0513,0.001,0.0368,0.0657,True
lj,111-115,32,node2vec,SimplE,test,MRR,source,transformed,-0.0231,0.001,-0.0334,-0.0129,True
lj,111-115,32,deepWalk,TransH,test,MRR,source,transformed,-0.0035,0.9,-0.0204,0.0134,False
lj,111-115,32,node2vec,TransE,test,MRR,source,transformed,0.0548,0.001,0.037,0.0726,True
orkut,351-355,32,deepWalk,SimplE,test,MRR,source2target,transformed,-0.01,0.2651,-0.0242,0.0042,False
lj,121-125,32,deepWalk,TransH,test,MRR,source2target,transformed,-0.0527,0.001,-0.0805,-0.0249,True
lj,111-115,32,node2vec,RESCAL,test,MRR,source,transformed,0.034,0.0031,0.0089,0.0592,True
lj,111-115,32,node2vec,TransH,test,MRR,source,transformed,0.0677,0.001,0.0495,0.0858,True
lj,121-125,32,deepWalk,TransE,test,MRR,source2target,transformed,-0.0552,0.001,-0.0822,-0.0282,True
lj,121-125,32,node2vec,TransE,test,MRR,source2target,transformed,-0.0622,0.001,-0.0879,-0.0365,True
lj,111-115,32,deepWalk,RESCAL,test,MRR,source,transformed,0.0338,0.0036,0.0085,0.0591,True
orkut,351-355,32,node2vec,TransH,test,MRR,source2target,transformed,-0.0624,0.001,-0.0794,-0.0453,True
youtube,16-20,32,node2vec,SimplE,test,MRR,source2target,transformed,0.0212,0.2168,-0.0072,0.0496,False
youtube,16-20,32,deepWalk,TransE,test,MRR,source2target,transformed,0.0624,0.0712,-0.0035,0.1284,False
orkut,351-355,32,node2vec,RESCAL,test,MRR,source2target,transformed,-0.0578,0.001,-0.0743,-0.0413,True
lj,121-125,32,deepWalk,TransD,test,MRR,source2target,transformed,-0.0721,0.001,-0.0968,-0.0474,True
orkut,351-355,32,deepWalk,TransH,test,MRR,source2target,transformed,-0.0782,0.001,-0.0963,-0.0601,True
youtube,16-20,32,node2vec,DistMult,test,MRR,source2target,transformed,0.028,0.0647,-0.0011,0.0571,False
orkut,351-355,32,deepWalk,DistMult,test,MRR,source2target,transformed,-0.0103,0.2593,-0.0247,0.0042,False
orkut,351-355,32,node2vec,DistMult,test,MRR,source2target,transformed,0.0342,0.001,0.0202,0.0482,True
youtube,16-20,32,deepWalk,TransH,test,MRR,source2target,transformed,0.0693,0.0379,0.0027,0.1358,True
youtube,16-20,32,node2vec,TransH,test,MRR,source2target,transformed,0.0579,0.1397,-0.0117,0.1276,False
lj,121-125,32,node2vec,SimplE,test,MRR,source2target,transformed,-0.0347,0.001,-0.0445,-0.025,True
orkut,351-355,32,deepWalk,TransD,test,MRR,source2target,transformed,-0.0587,0.001,-0.0736,-0.0438,True
lj,121-125,32,node2vec,TransD,test,MRR,source2target,transformed,-0.07,0.001,-0.0948,-0.0452,True
orkut,351-355,32,deepWalk,TransE,test,MRR,source2target,transformed,-0.0759,0.001,-0.094,-0.0579,True
lj,121-125,32,deepWalk,RESCAL,test,MRR,source2target,transformed,-0.0439,0.0498,-0.0878,-0.0,True
youtube,16-20,32,deepWalk,DistMult,test,MRR,source2target,transformed,0.0282,0.0649,-0.0012,0.0575,False
lj,121-125,32,node2vec,RESCAL,test,MRR,source2target,transformed,-0.0201,0.6359,-0.0651,0.0248,False
lj,121-125,32,node2vec,DistMult,test,MRR,target,transformed,0.0686,0.001,0.0511,0.0861,True
youtube,16-20,32,deepWalk,SimplE,test,MRR,source2target,transformed,0.0493,0.001,0.0197,0.0789,True
youtube,16-20,32,deepWalk,RESCAL,test,MRR,source2target,transformed,0.0485,0.1043,-0.0064,0.1034,False
lj,121-125,32,deepWalk,SimplE,test,MRR,target,transformed,-0.0016,0.9,-0.0107,0.0075,False
orkut,351-355,32,node2vec,TransD,test,MRR,target,transformed,-0.0494,0.001,-0.0645,-0.0343,True
youtube,16-20,32,deepWalk,SimplE,test,MRR,target,transformed,0.0335,0.0195,0.0039,0.063,True
youtube,16-20,32,node2vec,RESCAL,test,MRR,source2target,transformed,0.0661,0.0182,0.0081,0.1241,True
youtube,16-20,32,deepWalk,TransD,test,MRR,target,transformed,0.0517,0.1779,-0.014,0.1174,False
lj,121-125,32,deepWalk,DistMult,test,MRR,target,transformed,0.1036,0.001,0.0863,0.121,True
lj,121-125,32,node2vec,TransH,test,MRR,target,transformed,-0.0523,0.001,-0.0799,-0.0246,True
youtube,16-20,32,node2vec,TransD,test,MRR,target,transformed,0.0524,0.2051,-0.0166,0.1215,False
youtube,16-20,32,node2vec,TransE,test,MRR,target,transformed,0.0631,0.1003,-0.0078,0.1339,False
lj,111-115,32,node2vec,DistMult,test,MRR,source2target,target,-0.0245,0.001,-0.0399,-0.0091,True
lj,111-115,32,deepWalk,DistMult,test,MRR,source2target,target,-0.0275,0.001,-0.0421,-0.0129,True
