DATASET,SIZE,DIM,SOURCE,TARGET,SPLIT,MEASURE,METHOD,mean,iqr,cilo,cihi,whishi,whislo,q1,med,q3
youtube,16-20,32,node2vec,SimplE,test,Hit@10,source,0.6970925441176471,0.2072917500000001,0.6605336271913665,0.7394663728086334,1.0,0.3,0.59583325,0.7,0.8031250000000001
youtube,16-20,32,node2vec,DistMult,test,MRR,source,0.18137355882352943,0.08970699999999998,0.16434214249761958,0.19850085750238045,0.345833,0.081735,0.1294765,0.1814215,0.21918349999999998
youtube,16-20,32,deepWalk,TransH,test,Hit@10,transformed,0.8604424117647058,0.15833299999999995,0.844854906401681,0.905145093598319,1.0,0.625,0.8,0.875,0.958333
youtube,16-20,32,node2vec,SimplE,test,Hit@10,source2target,0.6956219558823529,0.22276800000000008,0.6575870967472963,0.7424129032527036,1.0,0.3,0.580357,0.7,0.8031250000000001
youtube,16-20,32,deepWalk,TransD,test,MR,target,5.560973970588236,2.8979167500000003,5.1732642805423605,6.276735719457639,10.125,1.166667,3.86458325,5.725,6.7625
youtube,16-20,32,deepWalk,TransD,test,Hit@10,source,0.5708131911764704,0.20625000000000004,0.4607319664589612,0.5392680335410388,1.0,0.25,0.484375,0.5,0.690625
youtube,16-20,32,deepWalk,TransH,test,Hit@10,target,0.8536234411764707,0.22916650000000005,0.8313688833528122,0.9186311166471878,1.0,0.5,0.7708335,0.875,1.0
youtube,16-20,32,deepWalk,TransH,test,Hit@3,source,0.11873067647058824,0.166667,0.09326819226092455,0.15673180773907547,0.375,0.0,0.0,0.125,0.166667
youtube,16-20,32,deepWalk,TransD,test,Hit@10,source2target,0.8479222058823529,0.25,0.8274023835866197,0.9225976164133803,1.0,0.5,0.75,0.875,1.0
youtube,16-20,32,node2vec,SimplE,test,Hit@10,transformed,0.5890573676470587,0.17187525000000003,0.5922765911181846,0.6577234088818154,0.9,0.3,0.5,0.625,0.67187525
youtube,16-20,32,node2vec,DistMult,test,MRR,source2target,0.1809753382352941,0.08970699999999998,0.16434214249761958,0.19850085750238045,0.345833,0.081735,0.1294765,0.1814215,0.21918349999999998
youtube,16-20,32,deepWalk,TransH,test,Hit@3,source2target,0.40134225,0.25,0.3524023835866197,0.44759761641338036,0.875,0.0,0.25,0.4,0.5
youtube,16-20,32,node2vec,SimplE,test,Hit@10,target,0.6915454558823529,0.2031250000000001,0.6613269366641285,0.7386730633358715,1.0,0.3,0.6,0.7,0.8031250000000001
youtube,16-20,32,node2vec,DistMult,test,MRR,transformed,0.20897417647058827,0.10699799999999998,0.1775481009560045,0.21829089904399548,0.413942,0.073115,0.15184999999999998,0.1979195,0.25884799999999997
youtube,16-20,32,node2vec,DistMult,test,MRR,target,0.18564091176470593,0.08405599999999999,0.1662995390190276,0.19830646098097238,0.310466,0.069776,0.14349375,0.182303,0.22754975
youtube,16-20,32,node2vec,SimplE,test,Hit@3,source,0.17312517647058825,0.3,0.10954986030394359,0.22378413969605643,0.6,0.0,0.0,0.166667,0.3
youtube,16-20,32,deepWalk,TransH,test,Hit@3,transformed,0.49858774999999994,0.37187525000000005,0.42919849798748033,0.5708015020125197,1.0,0.0,0.3,0.5,0.67187525
youtube,16-20,32,node2vec,SimplE,test,Hit@3,source2target,0.17312517647058825,0.3,0.10954986030394359,0.22378413969605643,0.6,0.0,0.0,0.166667,0.3
youtube,16-20,32,node2vec,DistMult,test,MR,source,8.130115029411764,2.564583249999999,7.615894800825279,8.592439199174722,12.428572,3.7,6.841666750000001,8.104167,9.40625
youtube,16-20,32,deepWalk,TransD,test,Hit@10,transformed,0.845470955882353,0.21428599999999998,0.8342019886769695,0.9157980113230305,1.0,0.5,0.785714,0.875,1.0
youtube,16-20,32,node2vec,DistMult,test,MR,source2target,8.165041485294116,2.4312500000000004,7.641280180379876,8.567053819620124,12.428572,3.7,6.975,8.104167,9.40625
youtube,16-20,32,deepWalk,TransD,test,Hit@10,target,0.8470933235294117,0.22916650000000005,0.8224403833528122,0.9097026166471878,1.0,0.5,0.7708335,0.8660715,1.0
youtube,16-20,32,node2vec,SimplE,test,Hit@3,transformed,0.23785064705882356,0.21249975,0.18454207364624312,0.26545792635375687,0.625,0.0,0.125,0.225,0.33749975
youtube,16-20,32,node2vec,DistMult,test,MR,transformed,8.855035911764706,2.875,8.015127411246127,9.109872588753873,14.0,4.1,7.625,8.5625,10.5
youtube,16-20,32,deepWalk,TransH,test,Hit@3,target,0.42249070588235293,0.26388900000000004,0.3827935504091579,0.4832774495908421,0.875,0.0,0.25,0.4330355,0.513889
youtube,16-20,32,deepWalk,DistMult,test,MRR,source,0.16962129411764706,0.08853849999999999,0.1504536137567357,0.1841673862432643,0.300099,0.077733,0.12284975000000001,0.1673105,0.21138825
youtube,16-20,32,node2vec,SimplE,test,Hit@3,target,0.20966519117647062,0.20312499999999997,0.16132693666412848,0.23867306333587154,0.5,0.0,0.1,0.2,0.303125
youtube,16-20,32,node2vec,DistMult,test,MR,target,8.044345470588233,2.680357,7.573018582652324,8.593647417347675,12.75,4.4375,6.3374999999999995,8.083333,9.017857
youtube,16-20,32,deepWalk,TransH,test,Hit@1,source,0.029847044117647062,0.0125,-0.0023798808206690176,0.0023798808206690176,0.0125,0.0,0.0,0.0,0.0125
youtube,16-20,32,node2vec,DistMult,test,Hit@10,source,0.6970925441176471,0.2072917500000001,0.6605336271913665,0.7394663728086334,1.0,0.3,0.59583325,0.7,0.8031250000000001
